State,County,Date,Cases,Deaths
45,Abbeville,1/22/20,0,0
45,Aiken,1/22/20,0,0
45,Allendale,1/22/20,0,0
45,Anderson,1/22/20,0,0
45,Bamberg,1/22/20,0,0
45,Barnwell,1/22/20,0,0
45,Beaufort,1/22/20,0,0
45,Berkeley,1/22/20,0,0
45,Calhoun,1/22/20,0,0
45,Charleston,1/22/20,0,0
45,Cherokee,1/22/20,0,0
45,Chester,1/22/20,0,0
45,Chesterfield,1/22/20,0,0
45,Clarendon,1/22/20,0,0
45,Colleton,1/22/20,0,0
45,Darlington,1/22/20,0,0
45,Dillon,1/22/20,0,0
45,Dorchester,1/22/20,0,0
45,Edgefield,1/22/20,0,0
45,Fairfield,1/22/20,0,0
45,Florence,1/22/20,0,0
45,Georgetown,1/22/20,0,0
45,Greenville,1/22/20,0,0
45,Greenwood,1/22/20,0,0
45,Hampton,1/22/20,0,0
45,Horry,1/22/20,0,0
45,Jasper,1/22/20,0,0
45,Kershaw,1/22/20,0,0
45,Lancaster,1/22/20,0,0
45,Laurens,1/22/20,0,0
45,Lee,1/22/20,0,0
45,Lexington,1/22/20,0,0
45,McCormick,1/22/20,0,0
45,Marion,1/22/20,0,0
45,Marlboro,1/22/20,0,0
45,Newberry,1/22/20,0,0
45,Oconee,1/22/20,0,0
45,Orangeburg,1/22/20,0,0
45,Pickens,1/22/20,0,0
45,Richland,1/22/20,0,0
45,Saluda,1/22/20,0,0
45,Spartanburg,1/22/20,0,0
45,Sumter,1/22/20,0,0
45,Union,1/22/20,0,0
45,Williamsburg,1/22/20,0,0
45,York,1/22/20,0,0
45,Abbeville,1/23/20,0,0
45,Aiken,1/23/20,0,0
45,Allendale,1/23/20,0,0
45,Anderson,1/23/20,0,0
45,Bamberg,1/23/20,0,0
45,Barnwell,1/23/20,0,0
45,Beaufort,1/23/20,0,0
45,Berkeley,1/23/20,0,0
45,Calhoun,1/23/20,0,0
45,Charleston,1/23/20,0,0
45,Cherokee,1/23/20,0,0
45,Chester,1/23/20,0,0
45,Chesterfield,1/23/20,0,0
45,Clarendon,1/23/20,0,0
45,Colleton,1/23/20,0,0
45,Darlington,1/23/20,0,0
45,Dillon,1/23/20,0,0
45,Dorchester,1/23/20,0,0
45,Edgefield,1/23/20,0,0
45,Fairfield,1/23/20,0,0
45,Florence,1/23/20,0,0
45,Georgetown,1/23/20,0,0
45,Greenville,1/23/20,0,0
45,Greenwood,1/23/20,0,0
45,Hampton,1/23/20,0,0
45,Horry,1/23/20,0,0
45,Jasper,1/23/20,0,0
45,Kershaw,1/23/20,0,0
45,Lancaster,1/23/20,0,0
45,Laurens,1/23/20,0,0
45,Lee,1/23/20,0,0
45,Lexington,1/23/20,0,0
45,McCormick,1/23/20,0,0
45,Marion,1/23/20,0,0
45,Marlboro,1/23/20,0,0
45,Newberry,1/23/20,0,0
45,Oconee,1/23/20,0,0
45,Orangeburg,1/23/20,0,0
45,Pickens,1/23/20,0,0
45,Richland,1/23/20,0,0
45,Saluda,1/23/20,0,0
45,Spartanburg,1/23/20,0,0
45,Sumter,1/23/20,0,0
45,Union,1/23/20,0,0
45,Williamsburg,1/23/20,0,0
45,York,1/23/20,0,0
45,Abbeville,1/24/20,0,0
45,Aiken,1/24/20,0,0
45,Allendale,1/24/20,0,0
45,Anderson,1/24/20,0,0
45,Bamberg,1/24/20,0,0
45,Barnwell,1/24/20,0,0
45,Beaufort,1/24/20,0,0
45,Berkeley,1/24/20,0,0
45,Calhoun,1/24/20,0,0
45,Charleston,1/24/20,0,0
45,Cherokee,1/24/20,0,0
45,Chester,1/24/20,0,0
45,Chesterfield,1/24/20,0,0
45,Clarendon,1/24/20,0,0
45,Colleton,1/24/20,0,0
45,Darlington,1/24/20,0,0
45,Dillon,1/24/20,0,0
45,Dorchester,1/24/20,0,0
45,Edgefield,1/24/20,0,0
45,Fairfield,1/24/20,0,0
45,Florence,1/24/20,0,0
45,Georgetown,1/24/20,0,0
45,Greenville,1/24/20,0,0
45,Greenwood,1/24/20,0,0
45,Hampton,1/24/20,0,0
45,Horry,1/24/20,0,0
45,Jasper,1/24/20,0,0
45,Kershaw,1/24/20,0,0
45,Lancaster,1/24/20,0,0
45,Laurens,1/24/20,0,0
45,Lee,1/24/20,0,0
45,Lexington,1/24/20,0,0
45,McCormick,1/24/20,0,0
45,Marion,1/24/20,0,0
45,Marlboro,1/24/20,0,0
45,Newberry,1/24/20,0,0
45,Oconee,1/24/20,0,0
45,Orangeburg,1/24/20,0,0
45,Pickens,1/24/20,0,0
45,Richland,1/24/20,0,0
45,Saluda,1/24/20,0,0
45,Spartanburg,1/24/20,0,0
45,Sumter,1/24/20,0,0
45,Union,1/24/20,0,0
45,Williamsburg,1/24/20,0,0
45,York,1/24/20,0,0
45,Abbeville,1/25/20,0,0
45,Aiken,1/25/20,0,0
45,Allendale,1/25/20,0,0
45,Anderson,1/25/20,0,0
45,Bamberg,1/25/20,0,0
45,Barnwell,1/25/20,0,0
45,Beaufort,1/25/20,0,0
45,Berkeley,1/25/20,0,0
45,Calhoun,1/25/20,0,0
45,Charleston,1/25/20,0,0
45,Cherokee,1/25/20,0,0
45,Chester,1/25/20,0,0
45,Chesterfield,1/25/20,0,0
45,Clarendon,1/25/20,0,0
45,Colleton,1/25/20,0,0
45,Darlington,1/25/20,0,0
45,Dillon,1/25/20,0,0
45,Dorchester,1/25/20,0,0
45,Edgefield,1/25/20,0,0
45,Fairfield,1/25/20,0,0
45,Florence,1/25/20,0,0
45,Georgetown,1/25/20,0,0
45,Greenville,1/25/20,0,0
45,Greenwood,1/25/20,0,0
45,Hampton,1/25/20,0,0
45,Horry,1/25/20,0,0
45,Jasper,1/25/20,0,0
45,Kershaw,1/25/20,0,0
45,Lancaster,1/25/20,0,0
45,Laurens,1/25/20,0,0
45,Lee,1/25/20,0,0
45,Lexington,1/25/20,0,0
45,McCormick,1/25/20,0,0
45,Marion,1/25/20,0,0
45,Marlboro,1/25/20,0,0
45,Newberry,1/25/20,0,0
45,Oconee,1/25/20,0,0
45,Orangeburg,1/25/20,0,0
45,Pickens,1/25/20,0,0
45,Richland,1/25/20,0,0
45,Saluda,1/25/20,0,0
45,Spartanburg,1/25/20,0,0
45,Sumter,1/25/20,0,0
45,Union,1/25/20,0,0
45,Williamsburg,1/25/20,0,0
45,York,1/25/20,0,0
45,Abbeville,1/26/20,0,0
45,Aiken,1/26/20,0,0
45,Allendale,1/26/20,0,0
45,Anderson,1/26/20,0,0
45,Bamberg,1/26/20,0,0
45,Barnwell,1/26/20,0,0
45,Beaufort,1/26/20,0,0
45,Berkeley,1/26/20,0,0
45,Calhoun,1/26/20,0,0
45,Charleston,1/26/20,0,0
45,Cherokee,1/26/20,0,0
45,Chester,1/26/20,0,0
45,Chesterfield,1/26/20,0,0
45,Clarendon,1/26/20,0,0
45,Colleton,1/26/20,0,0
45,Darlington,1/26/20,0,0
45,Dillon,1/26/20,0,0
45,Dorchester,1/26/20,0,0
45,Edgefield,1/26/20,0,0
45,Fairfield,1/26/20,0,0
45,Florence,1/26/20,0,0
45,Georgetown,1/26/20,0,0
45,Greenville,1/26/20,0,0
45,Greenwood,1/26/20,0,0
45,Hampton,1/26/20,0,0
45,Horry,1/26/20,0,0
45,Jasper,1/26/20,0,0
45,Kershaw,1/26/20,0,0
45,Lancaster,1/26/20,0,0
45,Laurens,1/26/20,0,0
45,Lee,1/26/20,0,0
45,Lexington,1/26/20,0,0
45,McCormick,1/26/20,0,0
45,Marion,1/26/20,0,0
45,Marlboro,1/26/20,0,0
45,Newberry,1/26/20,0,0
45,Oconee,1/26/20,0,0
45,Orangeburg,1/26/20,0,0
45,Pickens,1/26/20,0,0
45,Richland,1/26/20,0,0
45,Saluda,1/26/20,0,0
45,Spartanburg,1/26/20,0,0
45,Sumter,1/26/20,0,0
45,Union,1/26/20,0,0
45,Williamsburg,1/26/20,0,0
45,York,1/26/20,0,0
45,Abbeville,1/27/20,0,0
45,Aiken,1/27/20,0,0
45,Allendale,1/27/20,0,0
45,Anderson,1/27/20,0,0
45,Bamberg,1/27/20,0,0
45,Barnwell,1/27/20,0,0
45,Beaufort,1/27/20,0,0
45,Berkeley,1/27/20,0,0
45,Calhoun,1/27/20,0,0
45,Charleston,1/27/20,0,0
45,Cherokee,1/27/20,0,0
45,Chester,1/27/20,0,0
45,Chesterfield,1/27/20,0,0
45,Clarendon,1/27/20,0,0
45,Colleton,1/27/20,0,0
45,Darlington,1/27/20,0,0
45,Dillon,1/27/20,0,0
45,Dorchester,1/27/20,0,0
45,Edgefield,1/27/20,0,0
45,Fairfield,1/27/20,0,0
45,Florence,1/27/20,0,0
45,Georgetown,1/27/20,0,0
45,Greenville,1/27/20,0,0
45,Greenwood,1/27/20,0,0
45,Hampton,1/27/20,0,0
45,Horry,1/27/20,0,0
45,Jasper,1/27/20,0,0
45,Kershaw,1/27/20,0,0
45,Lancaster,1/27/20,0,0
45,Laurens,1/27/20,0,0
45,Lee,1/27/20,0,0
45,Lexington,1/27/20,0,0
45,McCormick,1/27/20,0,0
45,Marion,1/27/20,0,0
45,Marlboro,1/27/20,0,0
45,Newberry,1/27/20,0,0
45,Oconee,1/27/20,0,0
45,Orangeburg,1/27/20,0,0
45,Pickens,1/27/20,0,0
45,Richland,1/27/20,0,0
45,Saluda,1/27/20,0,0
45,Spartanburg,1/27/20,0,0
45,Sumter,1/27/20,0,0
45,Union,1/27/20,0,0
45,Williamsburg,1/27/20,0,0
45,York,1/27/20,0,0
45,Abbeville,1/28/20,0,0
45,Aiken,1/28/20,0,0
45,Allendale,1/28/20,0,0
45,Anderson,1/28/20,0,0
45,Bamberg,1/28/20,0,0
45,Barnwell,1/28/20,0,0
45,Beaufort,1/28/20,0,0
45,Berkeley,1/28/20,0,0
45,Calhoun,1/28/20,0,0
45,Charleston,1/28/20,0,0
45,Cherokee,1/28/20,0,0
45,Chester,1/28/20,0,0
45,Chesterfield,1/28/20,0,0
45,Clarendon,1/28/20,0,0
45,Colleton,1/28/20,0,0
45,Darlington,1/28/20,0,0
45,Dillon,1/28/20,0,0
45,Dorchester,1/28/20,0,0
45,Edgefield,1/28/20,0,0
45,Fairfield,1/28/20,0,0
45,Florence,1/28/20,0,0
45,Georgetown,1/28/20,0,0
45,Greenville,1/28/20,0,0
45,Greenwood,1/28/20,0,0
45,Hampton,1/28/20,0,0
45,Horry,1/28/20,0,0
45,Jasper,1/28/20,0,0
45,Kershaw,1/28/20,0,0
45,Lancaster,1/28/20,0,0
45,Laurens,1/28/20,0,0
45,Lee,1/28/20,0,0
45,Lexington,1/28/20,0,0
45,McCormick,1/28/20,0,0
45,Marion,1/28/20,0,0
45,Marlboro,1/28/20,0,0
45,Newberry,1/28/20,0,0
45,Oconee,1/28/20,0,0
45,Orangeburg,1/28/20,0,0
45,Pickens,1/28/20,0,0
45,Richland,1/28/20,0,0
45,Saluda,1/28/20,0,0
45,Spartanburg,1/28/20,0,0
45,Sumter,1/28/20,0,0
45,Union,1/28/20,0,0
45,Williamsburg,1/28/20,0,0
45,York,1/28/20,0,0
45,Abbeville,1/29/20,0,0
45,Aiken,1/29/20,0,0
45,Allendale,1/29/20,0,0
45,Anderson,1/29/20,0,0
45,Bamberg,1/29/20,0,0
45,Barnwell,1/29/20,0,0
45,Beaufort,1/29/20,0,0
45,Berkeley,1/29/20,0,0
45,Calhoun,1/29/20,0,0
45,Charleston,1/29/20,0,0
45,Cherokee,1/29/20,0,0
45,Chester,1/29/20,0,0
45,Chesterfield,1/29/20,0,0
45,Clarendon,1/29/20,0,0
45,Colleton,1/29/20,0,0
45,Darlington,1/29/20,0,0
45,Dillon,1/29/20,0,0
45,Dorchester,1/29/20,0,0
45,Edgefield,1/29/20,0,0
45,Fairfield,1/29/20,0,0
45,Florence,1/29/20,0,0
45,Georgetown,1/29/20,0,0
45,Greenville,1/29/20,0,0
45,Greenwood,1/29/20,0,0
45,Hampton,1/29/20,0,0
45,Horry,1/29/20,0,0
45,Jasper,1/29/20,0,0
45,Kershaw,1/29/20,0,0
45,Lancaster,1/29/20,0,0
45,Laurens,1/29/20,0,0
45,Lee,1/29/20,0,0
45,Lexington,1/29/20,0,0
45,McCormick,1/29/20,0,0
45,Marion,1/29/20,0,0
45,Marlboro,1/29/20,0,0
45,Newberry,1/29/20,0,0
45,Oconee,1/29/20,0,0
45,Orangeburg,1/29/20,0,0
45,Pickens,1/29/20,0,0
45,Richland,1/29/20,0,0
45,Saluda,1/29/20,0,0
45,Spartanburg,1/29/20,0,0
45,Sumter,1/29/20,0,0
45,Union,1/29/20,0,0
45,Williamsburg,1/29/20,0,0
45,York,1/29/20,0,0
45,Abbeville,1/30/20,0,0
45,Aiken,1/30/20,0,0
45,Allendale,1/30/20,0,0
45,Anderson,1/30/20,0,0
45,Bamberg,1/30/20,0,0
45,Barnwell,1/30/20,0,0
45,Beaufort,1/30/20,0,0
45,Berkeley,1/30/20,0,0
45,Calhoun,1/30/20,0,0
45,Charleston,1/30/20,0,0
45,Cherokee,1/30/20,0,0
45,Chester,1/30/20,0,0
45,Chesterfield,1/30/20,0,0
45,Clarendon,1/30/20,0,0
45,Colleton,1/30/20,0,0
45,Darlington,1/30/20,0,0
45,Dillon,1/30/20,0,0
45,Dorchester,1/30/20,0,0
45,Edgefield,1/30/20,0,0
45,Fairfield,1/30/20,0,0
45,Florence,1/30/20,0,0
45,Georgetown,1/30/20,0,0
45,Greenville,1/30/20,0,0
45,Greenwood,1/30/20,0,0
45,Hampton,1/30/20,0,0
45,Horry,1/30/20,0,0
45,Jasper,1/30/20,0,0
45,Kershaw,1/30/20,0,0
45,Lancaster,1/30/20,0,0
45,Laurens,1/30/20,0,0
45,Lee,1/30/20,0,0
45,Lexington,1/30/20,0,0
45,McCormick,1/30/20,0,0
45,Marion,1/30/20,0,0
45,Marlboro,1/30/20,0,0
45,Newberry,1/30/20,0,0
45,Oconee,1/30/20,0,0
45,Orangeburg,1/30/20,0,0
45,Pickens,1/30/20,0,0
45,Richland,1/30/20,0,0
45,Saluda,1/30/20,0,0
45,Spartanburg,1/30/20,0,0
45,Sumter,1/30/20,0,0
45,Union,1/30/20,0,0
45,Williamsburg,1/30/20,0,0
45,York,1/30/20,0,0
45,Abbeville,1/31/20,0,0
45,Aiken,1/31/20,0,0
45,Allendale,1/31/20,0,0
45,Anderson,1/31/20,0,0
45,Bamberg,1/31/20,0,0
45,Barnwell,1/31/20,0,0
45,Beaufort,1/31/20,0,0
45,Berkeley,1/31/20,0,0
45,Calhoun,1/31/20,0,0
45,Charleston,1/31/20,0,0
45,Cherokee,1/31/20,0,0
45,Chester,1/31/20,0,0
45,Chesterfield,1/31/20,0,0
45,Clarendon,1/31/20,0,0
45,Colleton,1/31/20,0,0
45,Darlington,1/31/20,0,0
45,Dillon,1/31/20,0,0
45,Dorchester,1/31/20,0,0
45,Edgefield,1/31/20,0,0
45,Fairfield,1/31/20,0,0
45,Florence,1/31/20,0,0
45,Georgetown,1/31/20,0,0
45,Greenville,1/31/20,0,0
45,Greenwood,1/31/20,0,0
45,Hampton,1/31/20,0,0
45,Horry,1/31/20,0,0
45,Jasper,1/31/20,0,0
45,Kershaw,1/31/20,0,0
45,Lancaster,1/31/20,0,0
45,Laurens,1/31/20,0,0
45,Lee,1/31/20,0,0
45,Lexington,1/31/20,0,0
45,McCormick,1/31/20,0,0
45,Marion,1/31/20,0,0
45,Marlboro,1/31/20,0,0
45,Newberry,1/31/20,0,0
45,Oconee,1/31/20,0,0
45,Orangeburg,1/31/20,0,0
45,Pickens,1/31/20,0,0
45,Richland,1/31/20,0,0
45,Saluda,1/31/20,0,0
45,Spartanburg,1/31/20,0,0
45,Sumter,1/31/20,0,0
45,Union,1/31/20,0,0
45,Williamsburg,1/31/20,0,0
45,York,1/31/20,0,0
45,Abbeville,2/1/20,0,0
45,Aiken,2/1/20,0,0
45,Allendale,2/1/20,0,0
45,Anderson,2/1/20,0,0
45,Bamberg,2/1/20,0,0
45,Barnwell,2/1/20,0,0
45,Beaufort,2/1/20,0,0
45,Berkeley,2/1/20,0,0
45,Calhoun,2/1/20,0,0
45,Charleston,2/1/20,0,0
45,Cherokee,2/1/20,0,0
45,Chester,2/1/20,0,0
45,Chesterfield,2/1/20,0,0
45,Clarendon,2/1/20,0,0
45,Colleton,2/1/20,0,0
45,Darlington,2/1/20,0,0
45,Dillon,2/1/20,0,0
45,Dorchester,2/1/20,0,0
45,Edgefield,2/1/20,0,0
45,Fairfield,2/1/20,0,0
45,Florence,2/1/20,0,0
45,Georgetown,2/1/20,0,0
45,Greenville,2/1/20,0,0
45,Greenwood,2/1/20,0,0
45,Hampton,2/1/20,0,0
45,Horry,2/1/20,0,0
45,Jasper,2/1/20,0,0
45,Kershaw,2/1/20,0,0
45,Lancaster,2/1/20,0,0
45,Laurens,2/1/20,0,0
45,Lee,2/1/20,0,0
45,Lexington,2/1/20,0,0
45,McCormick,2/1/20,0,0
45,Marion,2/1/20,0,0
45,Marlboro,2/1/20,0,0
45,Newberry,2/1/20,0,0
45,Oconee,2/1/20,0,0
45,Orangeburg,2/1/20,0,0
45,Pickens,2/1/20,0,0
45,Richland,2/1/20,0,0
45,Saluda,2/1/20,0,0
45,Spartanburg,2/1/20,0,0
45,Sumter,2/1/20,0,0
45,Union,2/1/20,0,0
45,Williamsburg,2/1/20,0,0
45,York,2/1/20,0,0
45,Abbeville,2/2/20,0,0
45,Aiken,2/2/20,0,0
45,Allendale,2/2/20,0,0
45,Anderson,2/2/20,0,0
45,Bamberg,2/2/20,0,0
45,Barnwell,2/2/20,0,0
45,Beaufort,2/2/20,0,0
45,Berkeley,2/2/20,0,0
45,Calhoun,2/2/20,0,0
45,Charleston,2/2/20,0,0
45,Cherokee,2/2/20,0,0
45,Chester,2/2/20,0,0
45,Chesterfield,2/2/20,0,0
45,Clarendon,2/2/20,0,0
45,Colleton,2/2/20,0,0
45,Darlington,2/2/20,0,0
45,Dillon,2/2/20,0,0
45,Dorchester,2/2/20,0,0
45,Edgefield,2/2/20,0,0
45,Fairfield,2/2/20,0,0
45,Florence,2/2/20,0,0
45,Georgetown,2/2/20,0,0
45,Greenville,2/2/20,0,0
45,Greenwood,2/2/20,0,0
45,Hampton,2/2/20,0,0
45,Horry,2/2/20,0,0
45,Jasper,2/2/20,0,0
45,Kershaw,2/2/20,0,0
45,Lancaster,2/2/20,0,0
45,Laurens,2/2/20,0,0
45,Lee,2/2/20,0,0
45,Lexington,2/2/20,0,0
45,McCormick,2/2/20,0,0
45,Marion,2/2/20,0,0
45,Marlboro,2/2/20,0,0
45,Newberry,2/2/20,0,0
45,Oconee,2/2/20,0,0
45,Orangeburg,2/2/20,0,0
45,Pickens,2/2/20,0,0
45,Richland,2/2/20,0,0
45,Saluda,2/2/20,0,0
45,Spartanburg,2/2/20,0,0
45,Sumter,2/2/20,0,0
45,Union,2/2/20,0,0
45,Williamsburg,2/2/20,0,0
45,York,2/2/20,0,0
45,Abbeville,2/3/20,0,0
45,Aiken,2/3/20,0,0
45,Allendale,2/3/20,0,0
45,Anderson,2/3/20,0,0
45,Bamberg,2/3/20,0,0
45,Barnwell,2/3/20,0,0
45,Beaufort,2/3/20,0,0
45,Berkeley,2/3/20,0,0
45,Calhoun,2/3/20,0,0
45,Charleston,2/3/20,0,0
45,Cherokee,2/3/20,0,0
45,Chester,2/3/20,0,0
45,Chesterfield,2/3/20,0,0
45,Clarendon,2/3/20,0,0
45,Colleton,2/3/20,0,0
45,Darlington,2/3/20,0,0
45,Dillon,2/3/20,0,0
45,Dorchester,2/3/20,0,0
45,Edgefield,2/3/20,0,0
45,Fairfield,2/3/20,0,0
45,Florence,2/3/20,0,0
45,Georgetown,2/3/20,0,0
45,Greenville,2/3/20,0,0
45,Greenwood,2/3/20,0,0
45,Hampton,2/3/20,0,0
45,Horry,2/3/20,0,0
45,Jasper,2/3/20,0,0
45,Kershaw,2/3/20,0,0
45,Lancaster,2/3/20,0,0
45,Laurens,2/3/20,0,0
45,Lee,2/3/20,0,0
45,Lexington,2/3/20,0,0
45,McCormick,2/3/20,0,0
45,Marion,2/3/20,0,0
45,Marlboro,2/3/20,0,0
45,Newberry,2/3/20,0,0
45,Oconee,2/3/20,0,0
45,Orangeburg,2/3/20,0,0
45,Pickens,2/3/20,0,0
45,Richland,2/3/20,0,0
45,Saluda,2/3/20,0,0
45,Spartanburg,2/3/20,0,0
45,Sumter,2/3/20,0,0
45,Union,2/3/20,0,0
45,Williamsburg,2/3/20,0,0
45,York,2/3/20,0,0
45,Abbeville,2/4/20,0,0
45,Aiken,2/4/20,0,0
45,Allendale,2/4/20,0,0
45,Anderson,2/4/20,0,0
45,Bamberg,2/4/20,0,0
45,Barnwell,2/4/20,0,0
45,Beaufort,2/4/20,0,0
45,Berkeley,2/4/20,0,0
45,Calhoun,2/4/20,0,0
45,Charleston,2/4/20,0,0
45,Cherokee,2/4/20,0,0
45,Chester,2/4/20,0,0
45,Chesterfield,2/4/20,0,0
45,Clarendon,2/4/20,0,0
45,Colleton,2/4/20,0,0
45,Darlington,2/4/20,0,0
45,Dillon,2/4/20,0,0
45,Dorchester,2/4/20,0,0
45,Edgefield,2/4/20,0,0
45,Fairfield,2/4/20,0,0
45,Florence,2/4/20,0,0
45,Georgetown,2/4/20,0,0
45,Greenville,2/4/20,0,0
45,Greenwood,2/4/20,0,0
45,Hampton,2/4/20,0,0
45,Horry,2/4/20,0,0
45,Jasper,2/4/20,0,0
45,Kershaw,2/4/20,0,0
45,Lancaster,2/4/20,0,0
45,Laurens,2/4/20,0,0
45,Lee,2/4/20,0,0
45,Lexington,2/4/20,0,0
45,McCormick,2/4/20,0,0
45,Marion,2/4/20,0,0
45,Marlboro,2/4/20,0,0
45,Newberry,2/4/20,0,0
45,Oconee,2/4/20,0,0
45,Orangeburg,2/4/20,0,0
45,Pickens,2/4/20,0,0
45,Richland,2/4/20,0,0
45,Saluda,2/4/20,0,0
45,Spartanburg,2/4/20,0,0
45,Sumter,2/4/20,0,0
45,Union,2/4/20,0,0
45,Williamsburg,2/4/20,0,0
45,York,2/4/20,0,0
45,Abbeville,2/5/20,0,0
45,Aiken,2/5/20,0,0
45,Allendale,2/5/20,0,0
45,Anderson,2/5/20,0,0
45,Bamberg,2/5/20,0,0
45,Barnwell,2/5/20,0,0
45,Beaufort,2/5/20,0,0
45,Berkeley,2/5/20,0,0
45,Calhoun,2/5/20,0,0
45,Charleston,2/5/20,0,0
45,Cherokee,2/5/20,0,0
45,Chester,2/5/20,0,0
45,Chesterfield,2/5/20,0,0
45,Clarendon,2/5/20,0,0
45,Colleton,2/5/20,0,0
45,Darlington,2/5/20,0,0
45,Dillon,2/5/20,0,0
45,Dorchester,2/5/20,0,0
45,Edgefield,2/5/20,0,0
45,Fairfield,2/5/20,0,0
45,Florence,2/5/20,0,0
45,Georgetown,2/5/20,0,0
45,Greenville,2/5/20,0,0
45,Greenwood,2/5/20,0,0
45,Hampton,2/5/20,0,0
45,Horry,2/5/20,0,0
45,Jasper,2/5/20,0,0
45,Kershaw,2/5/20,0,0
45,Lancaster,2/5/20,0,0
45,Laurens,2/5/20,0,0
45,Lee,2/5/20,0,0
45,Lexington,2/5/20,0,0
45,McCormick,2/5/20,0,0
45,Marion,2/5/20,0,0
45,Marlboro,2/5/20,0,0
45,Newberry,2/5/20,0,0
45,Oconee,2/5/20,0,0
45,Orangeburg,2/5/20,0,0
45,Pickens,2/5/20,0,0
45,Richland,2/5/20,0,0
45,Saluda,2/5/20,0,0
45,Spartanburg,2/5/20,0,0
45,Sumter,2/5/20,0,0
45,Union,2/5/20,0,0
45,Williamsburg,2/5/20,0,0
45,York,2/5/20,0,0
45,Abbeville,2/6/20,0,0
45,Aiken,2/6/20,0,0
45,Allendale,2/6/20,0,0
45,Anderson,2/6/20,0,0
45,Bamberg,2/6/20,0,0
45,Barnwell,2/6/20,0,0
45,Beaufort,2/6/20,0,0
45,Berkeley,2/6/20,0,0
